軟體名稱,圖片,敘述,套件名稱,標籤,bash,備註
BBS連線_PCMan X BBS ,pcmanx.png,常用的 BBS 連線軟體,pcmanx-mls-gtk2,網際網路;中學;大學;,,
#網頁設計_BlueGriffon,bluegriffon.png,讓您可以快速編輯簡單的HTML或動態HTML網頁 ,,網際網路;小學;中學;大學;,,#是個可執行檔...
網頁設計_KompoZer,kompozer.png,讓您可以快速編輯簡單的HTML或動態HTML網頁 ,kompozer,網際網路;小學;中學;,,
免費軟體_Dropbox,dropbox.png,可以讓你在不同電腦及行動載具間同步檔案進度的雲端軟體,nautilus-dropbox,網際網路;中學;大學;,,
RSS閱讀器_Akregator,akregator.png,方便實用的 RSS 閱讀器,akregator,網際網路;中學;大學;,,
BT下載_Ktorrent,ktorrent.png,可透過 BitTorrent 協定來下載和分享檔案 ,ktorrent,網際網路;中學;大學;,,
檔案傳輸_FileZilla,filezilla.png,Linux 下常用的 FTP 檔案傳輸工具 ,filezilla,網際網路;小學;中學;大學;,,
即時通訊_Pidgin,pidgin.svg,讓您可以透過即時通訊與好友聊天，支援 AIM、Google Talk、Jabber/XMPP、MSN、Yahoo 等,pidgin,網際網路;小學;中學;大學;,,
即時通訊_Kopete,kopete.png,即時訊息客戶端程式,kopete,網際網路;小學;中學;,,
即時通訊_Emesene,emesene-logo.png,一套適用於 Windows Live Messenge 的即時通訊軟體 ,emesene,網際網路;小學;中學;大學;,,
網路電話_Ekiga,ekiga.png,Linux 下常用的網路電話軟體,ekiga,網際網路;小學;中學;大學;,,
網路連線_KPPP,kppp.png,數據機和網路撥號程式,kppp,網際網路;,,
藍芽連線_BlueDevil,bluedevil.png,KDE 內建的藍芽傳輸軟體,bluedevil,網際網路;,,
連線分享_Nitroshare,,跨平台區域網路檔案分享軟體,nitroshare,網際網路;,,
遠端連線_Remmina,Remmina.png,遠端桌面的連線軟體，功能類似 TeamViewer,remmina,網際網路;,,
免費軟體_Skype,skype.png,知名的網路語音通話軟體,skype,網際網路;中學;大學;,,
郵件管理_Evolution,evolution.svg, 集合電子郵件，行事曆與工作排程等功能的郵件管理軟體,evolution,網際網路;,,
檔案傳輸_gFTP,gftp.png,FTP檔案傳輸軟體 ,gftp,網際網路;小學;中學;,,
#檔案分享_Meiga,meiga.png,透過 Meiga 可以輕易做到類似網路上的芳鄰來分享檔案,meiga,網際網路;小學;中學;,,
網際網路連線_pppoeconf,pppoeconf.png,連線設定工具,pppoeconf,網際網路;小學;中學;大學;,,
網際網路電視_Miro,miro.png,Miro 是一套內含 Mozilla 瀏覽器及VLC 播放軟體的跨平台影音播放軟體,miro,網際網路;小學;中學;,,
區域分享_iptux,ip-tux.png,區域網際網路通訊工具,iptux,網際網路;小學;中學;,,
分析程式_Wireshark,hi48-app-wireshark.png,抓網路封包必備的工具軟體,wireshark,網際網路;大學;,,
Bt下載_Transmission,,可透過 BitTorrent 協定來下載和分享檔案 ,transmission,網際網路;中學;大學;,,
#終端伺服器客戶端,,遠端連線程式,,網際網路;中學;大學;,,
免費軟體_TeamViewer,teamviewer.png,一個方便好用的遠端電腦連線軟體,teamviewer7,網際網路;中學;大學;,teamviewer.sh,
網頁設計_eXe,exe.png,具數位學習標準的模組化網頁編輯工具,exe,網際網路;中學;,,
#遊戲,,,,,,
打字遊戲_Tux Typing,tuxtype.png,適合小朋友及電腦初學者練習打字的遊戲軟體,tuxtype,遊戲;語言;小學;中學;,,
數學遊戲_TuxMath,tuxmath.png,練習數學加減乘除的遊戲,tuxmath,遊戲;數學;小學;,,
數獨遊戲_KSudoku,,數獨遊戲,ksudoku,遊戲;,,
數獨遊戲_gnome-sudoku,gnome-sudoku.png,透過數字格子題目來訓練邏輯能力的遊戲,gnome-sudoku,遊戲;數學;小學;中學;,,
企鵝歷險_Pingus,pingus.png,拯救題目要求的企鵝數量即可過關，是訓練邏輯思考的遊戲,pingus,遊戲;小學;,,
超級企鵝_SuperTux,supertux-256x256.png,類似瑪琍歐的闖關遊戲,supertux,遊戲;小學;,,
賽車遊戲_Supertuxkart,supertuxkart.png,3D賽車遊戲,supertuxkart,遊戲;小學;,,
小精靈_Kapman,kapman_48.png,吃掉所有的豆子，並設法逃避小精靈的追捕，你就可以過關囉！,kapman,遊戲;,,
闖關遊戲_KGoldrunner ,kgoldrunner.png,尋找金塊，躲避敵人，並解謎，就可以成功闖關！,kgoldrunner,遊戲;,,
泡泡龍_Frozen-Bubble,frozen-bubble-icon-64x64.png,射完所有泡泡即可過關，是練習思考及反應力的遊戲,frozen-bubble,遊戲;小學;,,
棋盤遊戲_Klickety,kllckety.png,棋盤遊戲,klickety,遊戲;,,
寶石方塊_KDiamond ,kdiamond.png,把三個相同的寶石連成一線即可得分,kdiamond,遊戲;,,
棋盤遊戲_SameGame,ksame_48.png,棋盤遊戲,ksame,遊戲;,,
俄羅斯方塊_KBlocks,kblocks_48.png,將方塊消除即可得分，是訓練思考及反應力的遊戲,kblocks,遊戲;,,
拼圖遊戲_Palapeli,palapeli_48.png,拼圖遊戲,palapeli,遊戲;,,
魔術方塊_Kubrick,kubrick_48.png,立體魔術方塊遊戲,kubrick,遊戲;,,
連線方塊_KSquares,KSquares.png,將線連起來組成方塊,ksquares,遊戲;,,
連線大師_KNetWalk,knetwalk.svg,透過不同管線連接的方式傳送電源給電腦的益智小遊戲,knetwalk,遊戲;小學;,,
,,,,,,
連線遊戲_Kolor Lines,kolor-lines.png,色彩連線益智遊戲,klines,遊戲;,,
#踩地雷_KMines,,踩地雷遊戲,,遊戲;,,
#倉庫番_KAtomic,,倉庫番式的智力遊戲,,遊戲;,,
#黑盒子_KBlackBox,,黑盒子智力遊戲,,遊戲;,,
#打磚塊_KBreakOut,,打磚塊遊戲,,遊戲;,,
#彈力球_KBounce,,彈力球遊戲,,遊戲;,,
#躲避球_Kollision,,訓練反應的躲避球遊戲,,遊戲;,,
#高爾夫球_Kolf,,具有機關及各種打法的高爾夫球，是訓練思考力的運動類遊戲,,遊戲;,,
#吞食蛇_Ksnake,,吞食蛇遊戲,,遊戲;,,
#吞食蛇_KSnakeDuel,,進階吞食蛇遊戲,,遊戲;,,
#圍棋_Kigo,,圍棋遊戲,,遊戲;,,
